disease_name,n_genes,max_evidence_score,max_penetrance_score,max_category_score,max_actionability,is_pediatric,is_category_a,meets_ngsr,panel_SEIZ,panel_HYPOTO,panel_DERM,panel_HL,panel_CHD,panel_CM,panel_IEM,panel_REN,panel_PULM,panel_AN_TH,panel_SK,panel_COND,panel_THYR
17-beta-hydroxysteroid dehydrogenase X deficiency,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"2,4-Dienoyl-CoA reductase deficiency",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Methylbutyryl-CoA dehydrogenase deficiency,1,3.0,0.2,1.0,0.05000000000000001,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
3 beta-hydroxysteroid dehydrogenase deficiency,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3-M syndrome,2,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3-Methylcrotonyl-CoA carboxylase 1 deficiency,1,4.0,0.6,2.0,0.39999999999999997,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
3-Methylcrotonyl-CoA carboxylase 2 deficiency,1,4.0,0.6,2.0,0.39999999999999997,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
3-hydroxy-3-methylglutaric aciduria,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
3-hydroxyacyl-CoA dehydrogenase deficiency,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"3-methylglutaconic aciduria, type I",1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"3-methylglutaconic aciduria, type III",1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"3-methylglutaconic aciduria, type V",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ACAD9 deficiency,1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
AICA-Ribosiduria,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALS and Parkinson's disease,1,1.0,0.5,1.0,0.041666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarskog-Scott syndrome,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Abetalipoproteinaemia,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aceruloplasminaemia,1,4.0,1.0,2.0,0.6666666666666666,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Achalasia-addisonianism-alacrimia syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Achondrogenesis 1B,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Achondrogenesis type 1A,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Achondroplasia,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Achromatopsia-3,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Acrodermatitis enteropathica,1,4.0,1.0,3.0,1.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Acrodysostosis 2, with or without hormone resistance",1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Acyl-CoA dehydrogenase, short-chain, deficiency of",1,4.0,0.6,1.0,0.19999999999999998,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Adenine phosphoribosyltransferase deficiency,1,4.0,0.6,1.0,0.19999999999999998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Adenomatous polyposis coli,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adenomatous polyposis coli, attenuated",1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adenosine monophosphate deaminase deficiency,1,2.0,0.15,1.0,0.024999999999999998,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency",1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency",1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete",1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrenocortical hyperplasia,1,2.0,0.15,1.0,0.024999999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrenoleukodystrophy,1,4.0,1.0,3.0,1.0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
Afibrinogenaemia,3,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"Agammaglobulinemia, X-linked 1",1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Age-related macular degeneration,1,2.0,0.4,1.0,0.06666666666666667,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Agenesis of the corpus callosum - intellectual deficit - coloboma - micrognathia,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agenesis of the corpus callosum with peripheral neuropathy,1,3.0,1.0,3.0,0.75,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Agnathia-otocephaly complex,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aicardi-Goutieres syndrome,4,3.0,1.0,3.0,0.75,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1
Aicardi-Goutieres syndrome ,1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
Aicardi-Goutieres syndrome 1,1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Alagille syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Albinism, oculocutaneous",1,4.0,1.0,3.0,1.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Albinism, oculocutaneous 1",1,4.0,1.0,3.0,1.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Aldolase A deficiency,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alexander disease,1,4.0,1.0,3.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Alkaptonuria,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Allan-Herndon-Dudley syndrome,1,3.0,1.0,3.0,0.75,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Alpha-methylacetoacetic aciduria,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Alpha-methylacyl-CoA racemase deficiency,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Alpha-thalassemia/mental retardation syndrome,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Alport syndrome,3,4.0,1.0,3.0,1.0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Alstrom syndrome,1,4.0,1.0,3.0,1.0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0
Alveolar capillary dysplasia with misalignment of pulmonary veins,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
"Alzheimer disease 1, familial",1,4.0,1.0,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alzheimer disease, type 3",1,4.0,1.0,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alzheimer disease, type 4",1,3.0,1.0,1.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amegakaryocytic thrombocytopaenia, congenital",1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Amelogenesis imperfecta,1,4.0,1.0,3.0,1.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Amish infantile epilepsy syndrome,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Amyloidosis, hereditary, transthyretin-related",1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Amyloidosis, primary cutaneous",1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amyloidosis, systemic",1,2.0,0.85,1.0,0.14166666666666666,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Amyotrophic lateral sclerosis,4,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amyotrophic lateral sclerosis type 10,1,3.0,1.0,1.0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amyotrophy, hereditary neuralgic",1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Analbuminemia,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Andersen cardiodysrhythmic periodic paralysis,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Androgen insensitivity,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anemia, congenital dyserythropoietic, type I",1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Anemia, dyserythropoietic congenital, type IV",1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Anemia, hypochromic microcytic",1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Anemia, sideroblastic, X-linked",1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
"Anemia, sideroblastic, pyridoxine-refractory, autosomal recessive",1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Aniridia,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Antitrypsin alpha 1 deficiency,1,4.0,0.2,1.0,0.06666666666666667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Aortic aneurysm, familial thoracic",1,4.0,0.6,2.0,0.39999999999999997,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aortic aneurysm, familial thoracic 4",1,3.0,0.6,2.0,0.3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Aortic aneurysm, familial thoracic 7",1,2.0,0.4,2.0,0.13333333333333333,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Aortic valve disease,1,2.0,0.15,1.0,0.024999999999999998,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Apert syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Apolipoprotein B deficiency,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Arginase deficiency,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Argininosuccinic aciduria,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Aromatic L-amino acid decarboxylase deficiency,1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Arrhythmogenic right ventricular cardiomyopathy,2,4.0,0.6,2.0,0.39999999999999997,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Arrhythmogenic right ventricular dysplasia,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Arrhythmogenic right ventricular dysplasia 12,1,3.0,0.6,2.0,0.3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
Arrhythmogenic right ventricular dysplasia 2,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Arrhythmogenic right ventricular dysplasia 5,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Arrhythmogenic right ventricular dysplasia 9,1,4.0,0.6,2.0,0.39999999999999997,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
Arrhythmogenic right ventricular dysplasia/cardiomyopathy,1,4.0,0.6,2.0,0.39999999999999997,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
"Arterial calcification, generalized, of infancy, 1",1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Arterial tortuosity syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Arthrogryposis multiplex congenita, distal",1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Arthrogryposis renal dysfunction cholestasis syndrome,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Arthrogryposis, distal",1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Arthrogryposis, distal, type 5",1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Arthrogryposis, renal dysfunction and cholestasis",1,3.0,1.0,3.0,0.75,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"Arthyrgryposis, distal",1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Arts syndrome,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Aspartylglucosaminuria,1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Asphyxiating thoracic dystrophy 2,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Ataxia with isolated vitamin E deficiency,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia",1,4.0,1.0,3.0,1.0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
Ataxia-ocular apraxia 2,1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ataxia-telangiectasia,1,4.0,1.0,3.0,1.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Athabaskan brainstem dysgenesis syndrome,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Atrial fibrillation,8,3.0,1.0,2.0,0.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"Atrial fibrillation, familial",1,1.0,0.5,1.0,0.041666666666666664,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Atrial septal defect,2,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Autism,4,3.0,0.6,1.0,0.15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Autism spectrum disorder,3,2.0,0.5,1.0,0.06666666666666667,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Autoimmune lymphoproliferative syndrome II,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia",1,4.0,1.0,3.0,1.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Axenfeld-Rieger syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Axonal neuropathy with neuromyotonia,1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Baller-Gerold syndrome,1,3.0,1.0,3.0,0.75,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Bamforth-Lazarus syndrome,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bannayan-Riley-Ruvalcaba syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Baraitser-Winter syndrome,2,3.0,1.0,3.0,0.75,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Bardet-Biedl syndrome,10,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Barth syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
Bartter syndrome,2,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
Bartter syndrome with sensorineural deafness,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"Basal ganglia disease, biotin-responsive",1,3.0,1.0,3.0,0.75,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
Beare-Stevenson cutis gyrata syndrome,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Becker muscular dystrophy,1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Beckwith-Wiedemann Syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Beckwith-Wiedemann syndrome,2,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Berardinelli-Seip lipodystrophy,1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Beta-thalassemia,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Bile acid amidation defect,2,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Bile acid synthesis defect, congenital, 2",1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bile acid synthesis defect, congenital, 4",1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Biotinidase deficiency,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Birt-Hogg-Dube syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Bloom syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Borjeson-Forssman-Lehmann syndrome,1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Brachydactyly, type B1",1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Branchiooculofacial syndrome,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Branchiootorenal syndrome,3,4.0,1.0,3.0,1.0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Breast and/or ovarian cancer,1,1.0,0.5,1.0,0.041666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast cancer,1,4.0,0.6,1.0,0.19999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Breast cancer, susceptibility to",1,3.0,0.2,1.0,0.05000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breast-ovarian cancer, familial, 1",1,4.0,1.0,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Breast-ovarian cancer, familial, 2",1,4.0,0.6,1.0,0.19999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Brittle cornea syndrome,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brody myopathy,1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bruck syndrome,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brugada syndrome,11,4.0,0.6,2.0,0.39999999999999997,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
C syndrome,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CARASIL syndrome,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CATSHL syndrome,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
CDG syndrome type IIa,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CDG syndrome type IId,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
CDG syndrome type IIf,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
CHARGE syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
CHILD syndrome,1,3.0,1.0,3.0,0.75,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
CK syndrome,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Caffey disease,1,3.0,0.6,1.0,0.15,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Campomelic dysplasia,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Camurati-Engelmann disease,1,3.0,0.6,1.0,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Canavan disease,1,4.0,1.0,3.0,1.0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
Capillary malformation-arteriovenous malformation,1,3.0,1.0,3.0,0.75,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Carbamoylphosphate synthetase I deficiency,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Cardiac atrioventricular septal defect,1,2.0,0.15,1.0,0.024999999999999998,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cardiac conduction disease,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency",1,3.0,1.0,3.0,0.75,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
Cardiofaciocutaneous syndrome,3,4.0,1.0,3.0,1.0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0
"Cardiomyopathy, dilated",28,4.0,0.6,2.0,0.39999999999999997,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0
"Cardiomyopathy, dilated ",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cardiomyopathy, dilated, 1DD",1,3.0,0.6,2.0,0.3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cardiomyopathy, dilated, 1M",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cardiomyopathy, dilated, 2B",1,1.0,0.5,1.0,0.041666666666666664,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cardiomyopathy, familial hypertrophic",8,4.0,0.6,2.0,0.39999999999999997,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0
"Cardiomyopathy, familial hypertrophic, 10",1,3.0,0.6,2.0,0.3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cardiomyopathy, familial hypertrophic, 12",1,2.0,0.4,2.0,0.13333333333333333,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cardiomyopathy, familial hypertrophic, 8",1,3.0,0.6,2.0,0.3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
