disease_name,n_genes,max_evidence_score,max_penetrance_score,max_category_score,max_actionability,is_pediatric,is_category_a,meets_ngsr,panel_SEIZ,panel_HYPOTO,panel_DERM,panel_HL,panel_CHD,panel_CM,panel_IEM,panel_REN,panel_PULM,panel_AN_TH,panel_SK,panel_COND,panel_THYR
"Cardiomyopathy, hypertrophic",9,3.0,0.6,2.0,0.3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"Cardiovascular malformation, congenital",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Carney complex,1,4.0,1.0,3.0,1.0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1
"Carnitine deficiency, systemic primary",1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Carnitine palmitoyltransferase 2 deficiency,1,4.0,1.0,3.0,1.0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
Carnitine palmitoyltransferase I deficiency,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
Carnitine-acylcarnitine translocase deficiency,1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
Carpenter syndrome,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cartilage-hair hypoplasia,1,3.0,1.0,3.0,0.75,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"Cataract, juvenile with microcornea and renal glucosuria",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Catecholaminergic polymorphic ventricular tachycardia,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Caveolinopathy,1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
Cenani-Lenz syndactyly syndrome,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
Central core disease,1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Central hypothyroidism and testicular enlargement,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Central hypoventilation syndrome,3,4.0,0.6,2.0,0.39999999999999997,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Centronuclear myopathy,2,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Centronuclear myopathy with dilated cardiomyopathy,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cerebellar hypoplasia and mental retardation with or without quadrupedal locomotion 1,1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cerebellar-retinal degeneration, infantile",1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome",1,2.0,0.85,1.0,0.14166666666666666,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Cerebrotendinous xanthomatosis,1,4.0,1.0,3.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Ceroid lipofuscinosis, neuronal",1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"Ceroid lipofuscinosis, neuronal, 10",1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"Ceroid lipofuscinosis, neuronal, 3",1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"Ceroid lipofuscinosis, neuronal, 5",1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"Ceroid lipofuscinosis, neuronal, 6",1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"Ceroid lipofuscinosis, neuronal, 8",1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Char syndrome,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Charcot-Marie-Tooth disease,17,4.0,1.0,3.0,1.0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0
"Charcot-Marie-Tooth disease, axonal, type 2L",1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Charcot-Marie-Tooth disease, axonal, type 2M",1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Charcot-Marie-Tooth disease, recessive intermediate",1,2.0,0.85,1.0,0.14166666666666666,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Charcot-Marie-Tooth neuropathy,1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Chediak-Higashi syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Cherubism,1,3.0,0.6,1.0,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Chloride diarrhea, congenital, Finnish type",1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cholestasis, infantile",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cholestasis, progressive familial intrahepatic 1",1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cholestasis, progressive familial intrahepatic 2",1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cholestasis, progressive familial intrahepatic 3",1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cholestasis, severe",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Chondrodysplasia punctata, X-linked recessive",1,3.0,0.6,1.0,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Choreoacanthocytosis,1,4.0,1.0,3.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Choreoathetosis, hypothyroidism, and neonatal respiratory distress",1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Choroideremia,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Christianson syndrome,1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chronic granulomatous disease,5,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Chudley-McCullough syndrome,1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Ciliary dyskinesia, primary",3,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cirrhosis, cryptogenic",2,2.0,0.15,1.0,0.024999999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrullinemia,2,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Cleft lip / palate,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleidocranial dysostosis,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Coats plus syndrome,1,3.0,1.0,3.0,0.75,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Cockayne syndrome,2,4.0,1.0,3.0,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"Coenzyme Q10 deficiency, primary, 1",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
Coffin-Lowry syndrome,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Coffin-Siris syndrome,2,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cohen syndrome,1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Combined malonic and methylmalonic aciduria,1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Combined oxidative phosphorylation deficiency,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Combined oxidative phosphorylation deficiency 1,1,3.0,1.0,3.0,0.75,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
Complement factor D deficiency,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Complex 3 deficiency,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Congenital adrenal hypoplasia,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Congenital alopecia with T-cell immunodeficiency,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Congenital brain dysgenesis due to glutamine synthetase deficiency,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Congenital cataracts - facial dysmorphism - neuropathy,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital cataracts, hearing loss and low serum copper and ceruloplasmin",1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Congenital central hypoventilation,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Congenital disorder of glycosylation,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Congenital disorder of glycosylation 1b,1,3.0,1.0,3.0,0.75,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Congenital disorder of glycosylation 2c,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Congenital disorder of glycosylation type 1P,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital disorder of glycosylation, type IIe",1,2.0,0.85,1.0,0.14166666666666666,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital disorder of glycosylation, type IIi",1,2.0,0.85,1.0,0.14166666666666666,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital disorder of glycosylation, type IIj",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital disorder of glycosylation, type Ia",1,4.0,1.0,3.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital disorder of glycosylation, type Ic",1,3.0,1.0,3.0,0.75,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital disorder of glycosylation, type Id",1,3.0,1.0,3.0,0.75,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital disorder of glycosylation, type Ie",1,2.0,0.85,1.0,0.14166666666666666,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital disorder of glycosylation, type If",1,2.0,0.85,1.0,0.14166666666666666,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital disorder of glycosylation, type Ig",1,3.0,1.0,3.0,0.75,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital disorder of glycosylation, type Ih",1,3.0,1.0,3.0,0.75,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"Congenital disorder of glycosylation, type Ii",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital disorder of glycosylation, type Ij",1,3.0,1.0,3.0,0.75,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital disorder of glycosylation, type Ik",1,3.0,1.0,3.0,0.75,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital disorder of glycosylation, type Il",1,2.0,0.85,1.0,0.14166666666666666,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital disorder of glycosylation, type Im",1,2.0,0.85,1.0,0.14166666666666666,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"Congenital disorder of glycosylation, type Ir",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Congenital dyserythropoietic anemia type 3,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Congenital dyserythropoietic anemia type I,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Congenital fiber type disproportion,2,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
Congenital fiber-type disproportion myopathy,1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Congenital heart defects,5,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0
Congenital heart disease,15,4.0,0.6,2.0,0.39999999999999997,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
"Congenital heart disease, nonsyndromic",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Congenital insensitivity to pain with anhidrosis ,1,4.0,1.0,3.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital lipoid adrenal hyperplasia,",1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Congenital muscular dystrophy with integrin deficiency,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Congenital muscular dystrophy-dystroglycanopathy with brain and eye anomalies,1,4.0,1.0,3.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Congenital myasthenic syndrome,9,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital myasthenic syndrome, limb-girdle",1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Congenital myopathy with fiber type disproportion,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Congenital myopathy with prominent internal nuclei and atypical cores,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Congenital nephrotic syndrome, Finnish type",1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Congenital short-bowel syndrome,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congenital spinal muscular atrophy,1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Contractural arachnodactyly,1,3.0,1.0,3.0,0.75,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
Coproporphyria,1,4.0,0.6,1.0,0.19999999999999998,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Corneal endothelial dystrophy,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Cornelia de Lange syndrome,2,4.0,1.0,3.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0
"Cornelia de Lange syndrome-like features, ocular hypertelorism & large fontanelle",1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Costello syndrome,1,4.0,1.0,3.0,1.0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
Cowchock syndrome,1,3.0,1.0,3.0,0.75,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
Cowden disease,1,4.0,1.0,3.0,1.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Cranioectodermal dysplasia,3,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
Craniometaphyseal dysplasia,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"Creatine deficiency syndrome, X-linked",1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Crigler-Najjar syndrome ,2,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Crisponi syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Crouzon syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Crouzon syndrome with acanthosis nigricans,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Cutis laxa,1,3.0,1.0,3.0,0.75,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
"Cutis laxa, autosomal recessive, type IB",1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Cutis laxa, autosomal recessive, type IC",1,3.0,1.0,3.0,0.75,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"Cutis laxa, autosomal recessive, type IIA",1,3.0,1.0,3.0,0.75,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
"Cutis laxa, autosomal recessive, type IIIA",1,3.0,1.0,3.0,0.75,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Cystic fibrosis,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Cystinosis,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
Cystinuria,2,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
D-2-hydroxyglutaric aciduria,1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D-bifunctional protein deficiency,1,3.0,1.0,3.0,0.75,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Danon disease,1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0
Deafness,4,4.0,1.0,3.0,1.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Deafness - encephaloneuropathy - obesity - valvulopathy Neonatal,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Deafness and palmoplantar keratoderma,1,4.0,1.0,3.0,1.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"Deafness, X-linked",2,3.0,1.0,3.0,0.75,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Deafness, autosomal dominant",5,3.0,1.0,3.0,0.75,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Deafness, autosomal dominant ",1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Deafness, autosomal recessive",19,4.0,1.0,3.0,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Deafness, autosomal recessive ",1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deafness, congenital with inner ear agenesis, microtia, and microdontia",1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Deafness, non-syndromic, autosomal dominant",1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Deafness, onychodystrophy, osteodystrophy, mental retardation, and seizures syndrome",1,3.0,1.0,3.0,0.75,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dementia, frontotemporal, with or without parkinsonism",1,3.0,0.6,1.0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dent disease,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Dentatorubral-pallidoluysian atrophy 1,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Denys-Drash syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Desmosterolosis,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Developmental delay, intellectual disability, epilepsy",1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Developmental delay, multifocal epilepsy & abnormal liver function",1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DiGeorge syndrome,1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"Diabetes insipidus, nephrogenic",1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"Diabetes mellitus, neonatal, with congenital hypothyroidism",1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Diabetes mellitus, noninsulin dependent",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diabetes, neonatal, with intestinal atresia",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diabetes, type 2",1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diamond-Blackfan anemia,10,3.0,1.0,3.0,0.75,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Diarrhea 4, malabsorptive, congenital",1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dihydropteridine reductase deficiency,1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Dihydropyrimidine dehydrogenase deficiency,1,4.0,0.6,1.0,0.19999999999999998,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dilated cardiomyopathy,1,4.0,0.6,2.0,0.39999999999999997,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
Disordered steroidogenesis with and without Antley-Bixler syndrome,1,4.0,1.0,3.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Disorders of sex development with cleft palate,1,1.0,0.5,1.0,0.041666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distal arthrogryposis syndrome 2b,1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Distal arthrogryposis type I,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Donnai-Barrow syndrome,1,3.0,1.0,3.0,0.75,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Dopamine beta-hydroxylase deficiency,1,2.0,0.85,1.0,0.14166666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dravet syndrome,1,4.0,1.0,3.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Dubin-Johnson syndrome,1,4.0,0.6,1.0,0.19999999999999998,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Duchenne muscular dystrophy,1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"Dysautonomia, familial",1,4.0,1.0,3.0,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
